User,Date,Time in Locked Mode,,,,,,,
1,1-Apr-13,4.519166667,,,,,,,
,1-May-13,10.07027778,,,,,,,
,2-Apr-13,9.668888889,,,,,,,
,2-May-13,1.141666667,,,,,,,
,3-Apr-13,13.37138889,,,,,,,
,3-May-13,19.44083333,,,,,,,
,4-May-13,2.824444444,,,,,,,
,5-Apr-13,12.43166667,,,,,,,
,5-May-13,16.02027778,,,,,,,
,6-Apr-13,19.52083333,,,,,,,
,6-May-13,6.740277778,,,,,,,
,7-Apr-13,13.84444444,,,,,,,
,7-May-13,14.24777778,,,,,,,
,8-Apr-13,11.36472222,,,,,,,
,8-May-13,15.06611111,,,,,,,
,9-Apr-13,13.07861111,,,,,,,
,9-May-13,12.72,,,,,,,
,10-Apr-13,6.612222222,,,,,,,
,10-May-13,13.88222222,,,,,,,
,11-Apr-13,2.296944444,,,,,,,
,11-May-13,5.095,,,,,,,
,12-Apr-13,9.221944444,,,,,,,
,12-May-13,6.680833333,,,,,,,
,13-Apr-13,1.343888889,,,,,,,
,13-May-13,5.3075,,,,,,,
,14-Apr-13,18.80777778,,,,,,,
,14-May-13,17.19166667,,,,,,,
,15-Apr-13,11.43277778,,,,,,,
,15-May-13,4.263055556,,,,,,,
,16-Apr-13,11.15666667,,,,,,,
,16-May-13,8.864444444,,,,,,,
,17-Apr-13,8.688333333,,,,,,,
,17-May-13,11.64972222,,,,,,,
,18-Apr-13,5.198055556,,,,,,,
,19-Apr-13,6.842222222,,,,,,,
,19-May-13,5.056111111,,,,,,,
,20-Apr-13,13.08611111,,,,,,,
,21-Apr-13,13.94916667,,,,,,,
,22-Apr-13,7.791944444,,,,,,,
,23-Apr-13,14.88888889,,,,,,,
,23-May-13,7.330833333,,,,,,,
,24-Apr-13,5.673333333,,,,,,,
,24-May-13,1.508055556,,,,,,,
,25-Apr-13,6.156388889,,,,,,,
,25-May-13,2.155833333,,,,,,,
,26-Apr-13,11.12111111,,,,,,,
,26-May-13,8.443055556,,,,,,,
,27-Apr-13,18.7725,,,,,,,
,27-Mar-13,9.845,,,,,,,
,27-May-13,13.34194444,,,,,,,
,28-Apr-13,10.69472222,,,,,,,
,28-Mar-13,1.356666667,,,,,,,
,28-May-13,13.78611111,,,,,,,
,29-Apr-13,6.374444444,,,,,,,
,29-Mar-13,11.24527778,,,,,,,
,30-Apr-13,13.92833333,,,,,,,
,30-Mar-13,7.386666667,,,,,,,
,30-May-13,2.917777778,,,,,,,
,31-Mar-13,21.44416667,,,,,,,
,31-May-13,15.87888889,,,,,,,
2,1-Apr-13,16.21388889,,,,,,,
,1-May-13,24.09444444,,,,,,,
,2-Apr-13,9.206666667,,,,,,,
,2-May-13,24.05416667,,,,,,,
,3-Apr-13,23.45555556,,,,,,,
,3-May-13,27.92361111,,,,,,,
,4-Apr-13,8.537222222,,,,,,,
,4-May-13,9.515555556,,,,,,,
,5-Apr-13,22.40611111,,,,,,,
,6-Apr-13,11.69527778,,,,,,,
,7-Apr-13,14.57416667,,,,,,,
,8-Apr-13,18.82333333,,,,,,,
,8-May-13,18.27611111,,,,,,,
,9-Apr-13,6.661388889,,,,,,,
,9-May-13,2.8375,,,,,,,
,10-Apr-13,22.6675,,,,,,,
,10-May-13,10.85805556,,,,,,,
,11-Apr-13,26.45944444,,,,,,,
,12-Apr-13,16.74861111,,,,,,,
,13-Apr-13,10.49277778,,,,,,,
,13-May-13,12.21,,,,,,,
,14-Apr-13,7.481666667,,,,,,,
,14-May-13,9.390555556,,,,,,,
,15-Apr-13,15.97472222,,,,,,,
,15-May-13,23.38361111,,,,,,,
,16-Apr-13,8.334166667,,,,,,,
,16-May-13,11.21944444,,,,,,,
,17-Apr-13,21.17277778,,,,,,,
